Feature1,Feature2,Feature3,ComLevel
2520,2569.9,2516.9,2557.05
2557,2580,2548.15,2555.5
2550,2628.75,2539.25,2617.9
2620,2636.9,2585.7,2601
2605,2623.25,2588.9,2608.85
2608,2633.15,2592,2615.25
2603.9,2623,2582.25,2609.5
2617,2648.6,2597.25,2610.3
2609.45,2647.1,2608.35,2617.75
2616,2630,2590.5,2599.9
2604,2625.6,2590.5,2610.9
2617.1,2622.8,2588.5,2605.65
2592,2609,2570,2575.85
2590,2590,2561.65,2577.45
2585,2590,2551,2561.65
2566,2610,2563.8,2600.75
2605.5,2613,2556.75,2571.3
2571.9,2588.95,2476.8,2505.8
2505.3,2520.45,2481,2504.8
2500,2519.3,2494.45,2512
2521,2529.15,2501.8,2513.8
2515,2546.3,2508,2530.05
2535,2555,2527.1,2549.55
2547,2600,2547,2591.5
2600,2608,2567.2,2574.6
2580,2587.9,2558.85,2570.3
2562,2573,2544.15,2550
2550.2,2596.35,2550.2,2592.8
2572,2604,2543.4,2592.9
2585,2588.75,2540,2550.95
2563.9,2608,2556.75,2593.1
2600,2602.95,2571.05,2577.75
2573.05,2610,2570,2603.9
2580.3,2645,2580.3,2633.3
2632.75,2646.9,2603,2616.25
2597.95,2621.7,2580.5,2595.1
2595,2598.25,2506.65,2522.5
2559,2559,2455,2474.35
2475.4,2518.6,2475.4,2509.55
2511,2515,2490,2499.5
2501,2549.95,2500,2545.75
2543.7,2558.85,2526.6,2540.2
2546.8,2570.1,2543.3,2564.4
2564,2583.9,2551.9,2579.15
2576,2600.35,2555.1,2561.4
2561,2569,2521.05,2528.05
2517.5,2537.85,2483,2488.6
2497.5,2516.5,2492.1,2505.15
2488,2505,2481.15,2497.05
2499.5,2519,2492.15,2502.05
2511,2515.05,2483.5,2506.75
2516.05,2516.8,2472.8,2480.65
2489.9,2519,2487,2510.75
2503.4,2525,2500.9,2509.6
2510.4,2523,2486,2508.9
2520,2550,2511,2547.15
2565,2583,2550.1,2573.3
2573,2573,2547,2552.05
2572,2589,2556.6,2572.1
2578,2610,2542.1,2604.2
2603.1,2691.4,2602,2671.7
2670,2684,2556,2635.6
2638,2719.35,2637.1,2703.2
2690.1,2696.8,2655,2684.75
2706.9,2749.9,2690,2740.9
2750,2752.85,2721.9,2733.6
2745,2745,2672,2686.85
2712,2729.9,2655.1,2676.15
2639,2645,2569.1,2578.65
2587.9,2622,2535.5,2567.15
2558.05,2639,2511.95,2576.75
2614.9,2614.9,2545.8,2574.65
2609,2609,2557.7,2570.85
2590,2590,2531.05,2564.05
2556,2611.2,2530,2537.4
2559.7,2620.45,2548,2591.8
2596.1,2615,2576.25,2605.6
2611.4,2614.9,2539.15,2547.45
2553,2559.95,2532.7,2539.75
2545,2564.1,2523.5,2540.3
2562.95,2574,2544,2549.75
2542,2578.5,2527,2545.4
2546.5,2568.4,2540.6,2552
2565,2565,2543,2551.65
2551.65,2558.9,2536,2547.6
2555,2565,2541.05,2550.35
2565,2586,2539,2551.25
2550,2557.1,2533.2,2551.05
2557.5,2572.4,2490,2526.8
2534.3,2557.75,2512.6,2532.65
2535.5,2590,2529.9,2580.4
2594,2619,2579.5,2593.7
2583.35,2634,2569.85,2588.25
2643.7,2643.7,2570.95,2588.05
2599,2649.95,2592.2,2644.6
2652.7,2770,2652.7,2711.65
2725,2726,2684,2700
2693.95,2717,2646.95,2653.95
2670,2678.35,2620,2633.8
2650.5,2650.6,2608,2629.65
2655,2660.35,2587,2592.6
2602.8,2612,2567.6,2598.55
2548,2548,2480,2483.7
2490,2503.5,2465,2467.75
2480.9,2492,2470,2473.75
2490,2494.95,2455.85,2488.75
2496.25,2530,2495.6,2526.75
2535,2542,2522.25,2530
2548,2548,2527.3,2537.15
2549,2549,2515.1,2536.55
2530.05,2544.9,2520.35,2531.1
2510.05,2533.55,2510.05,2529.1
2533.55,2535.4,2490.05,2495.35
2500,2511.9,2485,2495.2
2500,2522.8,2487.55,2517.35
2528,2547.8,2518.5,2543.45
2545,2547.2,2520,2533.8
2530.8,2534.95,2480,2482.65
2492,2518.25,2483.45,2505.75
2495,2502.75,2468.6,2471.35
2472.95,2477,2450,2458.15
2475,2475,2450,2468.8
2438.05,2438.05,2386.55,2397.4
2390,2390,2356,2374.6
2380.5,2398.45,2375,2390.55
2388.9,2388.9,2346,2351.45
2365.35,2381.6,2352,2362.55
2366.5,2423.55,2361.95,2398.35
2405.3,2413.4,2382.25,2391.05
2380.05,2392.45,2365.5,2367.95
2377.9,2382.4,2337.85,2345.55
2348,2359.45,2332.5,2353.35
2365,2391.25,2350.15,2364.7
2362.9,2378.05,2357.05,2361.9
2378,2378.1,2346.5,2365.2
2360,2373,2347,2350.75
2340,2347.3,2321.1,2328.4
2332.2,2343.9,2315.25,2319.8
2319.4,2349,2317.3,2329
2337.9,2372.8,2320,2367.65
2369,2391.2,2352,2384.55
2383,2391.95,2363.25,2386
2335.2,2387,2330.6,2378.45
2378.45,2385,2363.05,2375.85
2384,2414.5,2384,2408.4
2415,2445,2393.35,2439.75
2420,2434.2,2400.65,2416.8
2419.95,2450,2406.85,2446.4
2440,2440,2400,2405.05
2415,2435,2410.55,2425.8
2421,2438.2,2404,2434.25
2428,2466.4,2420.2,2462.7
2458.35,2465.3,2445.75,2455.8
2453.05,2459,2412.3,2418.3
2415.75,2448.5,2407.5,2436.85
2439,2439,2412.25,2416.4
2410.15,2414,2366.05,2369.6
2385,2386.6,2341,2348.95
2350.2,2386.15,2350.2,2381.6
2370,2382.9,2360,2371.25
2385,2407.35,2372.5,2397.6
2382.5,2384,2348.85,2362.35
2362.7,2365,2301.6,2327.05
2317,2327,2255.1,2279.2
2273,2298.9,2250,2278.8
2288.85,2291.7,2255,2261.1
2262,2291.9,2260,2277.65
2277,2300,2268.3,2279.3
2273.8,2285,2243,2280.1
2285,2289.9,2245.75,2254.5
2273,2302.05,2260,2295.75
2301.9,2339,2291.5,2304.65
2302,2329.95,2281.9,2319.75
